Gene	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
FAM98A	810.3061111	568.4061111	472.3061111	1160.606111	968.9061111	954.8061111	549.2061111	665.5061111	522.6061111	469.3061111	740.9361111	643.8361111	757.3361111	733.2361111	653.0361111	609.5361111	698.7361111	692.5361111	646.4361111	757.4361111	793.8361111	740.9361111	841.9361111	820.8361111	766.7361111	734.4361111	799.9361111	727.4361111	725.4361111	733.2361111	898.8577778	525.7577778	550.6577778	871.6577778	735.2577778	803.1577778	833.8061111	1124.306111	509.2061111	714.3061111	694.5061111	1027.406111	228.6061111	690.4061111	1028.106111	625.2061111
SNX5	1142.548333	889.6483333	1045.648333	629.2483333	595.1483333	909.7483333	978.9483333	1043.548333	912.7483333	1107.048333	1002.033333	1044.633333	1056.333333	958.8333333	927.6333333	945.5333333	963.7333333	950.3333333	987.9333333	958.0333333	997.7333333	1178.133333	1089.233333	1103.933333	1197.533333	1106.633333	1141.333333	1189.433333	1200.333333	1073.033333	1143.018333	855.0183333	791.3183333	1123.918333	1047.718333	1360.718333	925.0483333	1017.748333	1134.748333	1478.748333	1490.248333	1095.648333	1361.148333	943.3483333	1180.048333	1191.348333
RREB1	783.6333333	1234.933333	1086.533333	771.7333333	580.8333333	559.3333333	635.0333333	825.5333333	912.4333333	810.5333333	647.3133333	625.5133333	671.8133333	695.6133333	638.6133333	703.9133333	555.2133333	547.6133333	681.5133333	614.3133333	733.0133333	647.3133333	646.2133333	698.5133333	715.9133333	626.8133333	666.1133333	677.6133333	640.3133333	673.8133333	599.7533333	611.3533333	795.6533333	689.1533333	568.5533333	667.6533333	659.1333333	635.8333333	411.3333333	330.4333333	276.0333333	354.8333333	304.4333333	469.3333333	557.3333333	907.8333333
LAMTOR2	790.9683333	445.7683333	265.3683333	217.8683333	160.3683333	553.1683333	669.2683333	533.7683333	618.3683333	746.2683333	593.1183333	559.2183333	636.6183333	621.9183333	525.0183333	508.0183333	563.9183333	544.2183333	586.5183333	593.8183333	596.9183333	629.8183333	765.5183333	637.6183333	606.4183333	634.0183333	666.4183333	639.8183333	654.7183333	638.6183333	707.7133333	674.6133333	628.8133333	701.1133333	492.5133333	455.9133333	672.3683333	683.9683333	706.9683333	959.7683333	549.5683333	876.8683333	1246.168333	516.7683333	336.6683333	651.9683333
STK17A	418.5327778	198.4327778	196.4327778	1147.032778	892.7327778	83.73277778	68.83277778	215.4327778	304.1327778	211.6327778	321.5827778	339.2827778	332.7827778	304.3827778	418.6827778	487.9827778	348.1827778	503.7827778	320.7827778	306.0827778	365.7827778	348.2827778	401.9827778	344.8827778	363.1827778	346.1827778	336.6827778	352.7827778	351.2827778	329.7827778	451.2844444	384.2844444	304.3844444	393.1844444	322.5844444	311.5844444	175.2327778	398.5327778	243.0327778	662.7327778	335.0327778	362.2327778	364.2327778	329.2327778	354.6327778	262.5327778
CYP27A1	295.8155556	132.2155556	-35.28444444	-92.08444444	-91.38444444	318.7155556	572.3155556	186.0155556	-9.784444444	243.1155556	368.3955556	284.3955556	339.0955556	242.2955556	223.3955556	217.8955556	227.9955556	224.7955556	333.3955556	227.2955556	254.5955556	313.4955556	241.8955556	292.9955556	323.3955556	301.7955556	438.4955556	393.2955556	310.1955556	226.9955556	292.0888889	431.7888889	357.6888889	235.8888889	271.1888889	147.1888889	540.2155556	651.8155556	253.4155556	555.6155556	552.0155556	212.1155556	662.5155556	464.7155556	439.3155556	-65.28444444
IRF7	382.8527778	141.4527778	246.8527778	501.5527778	398.6527778	12.85277778	99.45277778	185.6527778	189.5527778	214.7527778	212.2977778	251.0977778	242.3977778	262.2977778	289.7977778	227.4977778	309.7977778	411.8977778	262.2977778	276.0977778	252.3977778	226.2977778	222.8977778	266.0977778	220.6977778	250.0977778	312.3977778	292.2977778	259.4977778	287.4977778	524.4494444	185.3494444	186.1494444	286.5494444	221.3494444	196.8494444	189.5527778	100.3527778	253.8527778	381.3527778	75.35277778	126.5527778	1231.052778	266.0527778	171.9527778	165.9527778
MAL	77.14333333	60.34333333	0.943333333	151.6433333	64.34333333	323.4433333	-43.65666667	588.4433333	351.9433333	225.1433333	193.8383333	212.8383333	204.8383333	202.7383333	220.5383333	259.2383333	174.0383333	200.8383333	228.7383333	291.0383333	208.1383333	250.7383333	240.2383333	183.5383333	276.0383333	196.2383333	209.6383333	188.5383333	402.7383333	393.8383333	232.7183333	236.1183333	321.5183333	125.6183333	211.1183333	294.4183333	241.5433333	332.6433333	495.0433333	450.4433333	334.8433333	-71.35666667	983.8433333	204.7433333	0.543333333	-33.65666667
CPSF7	753.6516667	638.8516667	1004.851667	1375.051667	934.2516667	834.0516667	715.4516667	912.4516667	1058.651667	1046.451667	724.0316667	712.6316667	1035.431667	866.4316667	936.7316667	811.6316667	952.4316667	868.2316667	891.9316667	899.7316667	726.3316667	606.1316667	544.2316667	724.1316667	665.1316667	711.4316667	840.6316667	767.6316667	782.2316667	779.2316667	623.6166667	874.4166667	927.2166667	691.0166667	841.2166667	796.4166667	706.5516667	749.7516667	624.4516667	345.9516667	662.0516667	600.4516667	423.5516667	804.9516667	723.6516667	931.2516667
ATP2B1	387.6216667	395.5216667	135.4216667	858.2216667	452.2216667	626.7216667	333.0216667	716.0216667	822.4216667	363.7216667	309.6716667	379.6716667	709.0716667	738.2716667	416.7716667	339.7716667	383.5716667	433.6716667	468.6716667	388.7716667	370.3716667	403.6716667	265.3716667	376.6716667	459.6716667	287.7716667	296.3716667	358.7716667	352.0716667	402.4716667	292.6066667	308.6066667	363.4066667	397.3066667	411.1066667	669.3066667	529.8216667	423.4216667	304.4216667	101.7216667	69.42166667	350.8216667	207.4216667	163.3216667	262.4216667	637.4216667
